tile,format,bytes,bpp
45452/71494.jpeg,etc1s,11286,1.378
45452/71495.jpeg,etc1s,11170,1.364
45452/71496.jpeg,etc1s,11360,1.387
45452/71497.jpeg,etc1s,11333,1.383
45453/71494.jpeg,etc1s,11569,1.412
45453/71495.jpeg,etc1s,11143,1.360
45453/71496.jpeg,etc1s,11103,1.355
45453/71497.jpeg,etc1s,11407,1.392
45454/71494.jpeg,etc1s,11517,1.406
45454/71495.jpeg,etc1s,11499,1.404
45454/71496.jpeg,etc1s,11698,1.428
45454/71497.jpeg,etc1s,11745,1.434
45455/71494.jpeg,etc1s,11660,1.423
45455/71495.jpeg,etc1s,11569,1.412
45455/71496.jpeg,etc1s,11546,1.409
45455/71497.jpeg,etc1s,11746,1.434
45452/71494.jpeg,uastc4x4,64608,7.887
45452/71495.jpeg,uastc4x4,63833,7.792
45452/71496.jpeg,uastc4x4,65730,8.024
45452/71497.jpeg,uastc4x4,65730,8.024
45453/71494.jpeg,uastc4x4,65730,8.024
45453/71495.jpeg,uastc4x4,63953,7.807
45453/71496.jpeg,uastc4x4,63666,7.772
45453/71497.jpeg,uastc4x4,65730,8.024
45454/71494.jpeg,uastc4x4,65730,8.024
45454/71495.jpeg,uastc4x4,65730,8.024
45454/71496.jpeg,uastc4x4,65730,8.024
45454/71497.jpeg,uastc4x4,65730,8.024
45455/71494.jpeg,uastc4x4,65730,8.024
45455/71495.jpeg,uastc4x4,65730,8.024
45455/71496.jpeg,uastc4x4,65730,8.024
45455/71497.jpeg,uastc4x4,65730,8.024
45452/71494.jpeg,xuastc4x4,57444,7.012
45452/71495.jpeg,xuastc4x4,57189,6.981
45452/71496.jpeg,xuastc4x4,57572,7.028
45452/71497.jpeg,xuastc4x4,57405,7.007
45453/71494.jpeg,xuastc4x4,58223,7.107
45453/71495.jpeg,xuastc4x4,57044,6.963
45453/71496.jpeg,xuastc4x4,57051,6.964
45453/71497.jpeg,xuastc4x4,57160,6.978
45454/71494.jpeg,xuastc4x4,57646,7.037
45454/71495.jpeg,xuastc4x4,58008,7.081
45454/71496.jpeg,xuastc4x4,57772,7.052
45454/71497.jpeg,xuastc4x4,58135,7.097
45455/71494.jpeg,xuastc4x4,58333,7.121
45455/71495.jpeg,xuastc4x4,58170,7.101
45455/71496.jpeg,xuastc4x4,58031,7.084
45455/71497.jpeg,xuastc4x4,58422,7.132
45452/71494.jpeg,xuastc5x5,39192,4.784
45452/71495.jpeg,xuastc5x5,38992,4.760
